common name,scientific name,cloudinary url
Common Eastern Froglet,Crinia signifera,http://res.cloudinary.com/ausmus/video/upload/v1479990764/zyba01rfqbuatw3owdma.m4a
Striped Marsh Frog,Limnodynastes peronii,https://res.cloudinary.com/ausmus/video/upload/v1514943706/owwr6n9j4mx7oeytjda0.m4a
Peron's Tree Frog,Litoria peronii,https://res.cloudinary.com/ausmus/video/upload/v1502254442/rrkywfzwcs2wnb4wm5gp.m4a
Eastern Dwarf Tree Frog,Litoria fallax,http://res.cloudinary.com/ausmus/video/upload/v1479990829/akuidlz4w1wlgzprb7fi.m4a
Spotted Marsh Frog,Limnodynastes tasmaniensis,http://res.cloudinary.com/ausmus/video/upload/v1479991056/ttetbvtm6yn5aj1mzt0z.m4a
Green Tree Frog,Litoria caerulea,https://res.cloudinary.com/ausmus/video/upload/v1506402638/r2ydpvyndjzxxftzuxuq.m4a
Rattling Froglet,Crinia glauerti,https://res.cloudinary.com/ausmus/video/upload/v1506302782/wb4htzmcpe9jwxo2kevv.m4a
Brown Tree Frog,Litoria ewingii,https://res.cloudinary.com/ausmus/video/upload/v1526795552/elpcynioigq71i1ltudg.m4a
Eastern Banjo Frog,Limnodynastes dumerilii,http://res.cloudinary.com/ausmus/video/upload/v1479991679/iyooa78yjkwya9rz2jlk.m4a
Red Tree Frog,Litoria rubella,https://res.cloudinary.com/ausmus/video/upload/v1506405227/asqf8mit9ko0q8irsrhu.m4a
Eastern Sign-bearing Froglet,Crinia parinsignifera,http://res.cloudinary.com/ausmus/video/upload/v1479991075/dfvcntsc6h9vy2qsqzof.m4a
Slender Tree Frog,Litoria adelaidensis,http://res.cloudinary.com/ausmus/video/upload/v1479991764/rfzjz44lzd2utv3u5kri.m4a
Quacking Frog,Crinia georgiana,http://res.cloudinary.com/ausmus/video/upload/v1479991088/iwqmgvwoz2w3appvxy8b.m4a
Roth's Tree Frog,Litoria rothii,https://res.cloudinary.com/ausmus/video/upload/v1502254559/h7053fpmsqrcw8uxjulq.m4a
Whistling Tree Frog ,Litoria verreauxii,https://res.cloudinary.com/ausmus/video/upload/v1514942716/qvd4jgdrgtwonmwsqbrz.m4a
Motorbike Frog,Litoria moorei,http://res.cloudinary.com/ausmus/video/upload/v1479991488/m5eflagwheozgfbsf9fr.m4a
Bleating Tree Frog,Litoria dentata,http://res.cloudinary.com/ausmus/video/upload/v1479991881/gy1msxwmttrsqemedvbd.m4a
Graceful Tree Frog,Litoria gracilenta,http://res.cloudinary.com/ausmus/video/upload/v1479991352/speidjcpbkg6yurflban.m4a
Tyler's Tree Frog,Litoria tyleri,https://res.cloudinary.com/ausmus/video/upload/v1540011483/pohgclz6zujfa36dg8qf.m4a
Marbled Frog,Limnodynastes convexiusculus,https://res.cloudinary.com/ausmus/video/upload/v1502253958/lnsybpzrupjaa9mvn7jp.m4a
Broad-palmed Rocket Frog,Litoria latopalmata,http://res.cloudinary.com/ausmus/video/upload/v1479991775/qzse7suxxdnkobjy6qin.m4a
Northern Sedge Frog,Litoria bicolor,https://res.cloudinary.com/ausmus/video/upload/v1519330807/objaua77lbpzt2padhgk.m4a
Bumpy Rocket Frog,Litoria inermis,https://res.cloudinary.com/ausmus/video/upload/v1518037638/huag1ab88aez83x98vsv.m4a
Cane Toad,Rhinella marina,https://res.cloudinary.com/ausmus/video/upload/v1502255275/nzztlw9onwwxmx4qmjfi.m4a
Western Banjo Frog,Limnodynastes dorsalis,http://res.cloudinary.com/ausmus/video/upload/v1479991273/u5glxjd8hmsh4ejkiwoo.m4a
Striped Rocket Frog,Litoria nasuta,https://res.cloudinary.com/ausmus/video/upload/v1509607602/adkxuxsyxw4gpxbfplgu.m4a
Giant Burrowing Frog,Cyclorana australis,https://res.cloudinary.com/ausmus/video/upload/v1506303771/ocycwxsrwnyo3egm85ms.m4a
Ornate Burrowing Frog,Platyplectrum ornatum,https://res.cloudinary.com/ausmus/video/upload/v1506406996/vf0nzqsgzqhjellc6hjs.m4a
Remote Froglet,Crinia remota,https://res.cloudinary.com/ausmus/video/upload/v1518038739/ousqrcm6aeasldjiwtpl.m4a
Dusky Toadlet,Uperoleia fusca,http://res.cloudinary.com/ausmus/video/upload/v1479991827/fxqiiaepkqhvn0ixlz9o.m4a
Squelching Froglet,Crinia insignifera,http://res.cloudinary.com/ausmus/video/upload/v1479991817/nnbf1egmajsihyejuq7p.m4a
Green Stream Frog,Litoria phyllochroa,http://res.cloudinary.com/ausmus/video/upload/v1479991752/hvqp1gbbp5f8uylgtqj2.m4a
White-lipped Tree Frog,Litoria infrafrenata,https://res.cloudinary.com/ausmus/video/upload/v1511222196/bmwpluztnatwat8lstgt.m4a
Ticking Frog,Geocrinia leai,http://res.cloudinary.com/ausmus/video/upload/v1479991710/zbuqoercpe6q3t1qyi3g.m4a
Smooth Toadlet,Uperoleia laevigata,https://res.cloudinary.com/ausmus/video/upload/v1520054655/k2gksqstsnn724v36q4t.m4a
Bleating Froglet,Crinia pseudinsignifera,http://res.cloudinary.com/ausmus/video/upload/v1479991017/y5bezhovo7c6jbkbkrnv.m4a
Moaning Frog,Heleioporus eyrei,http://res.cloudinary.com/ausmus/video/upload/v1479990874/uwwfqsd8hzo7lpze9nrd.m4a
Great Barred Frog,Mixophyes fasciolatus,http://res.cloudinary.com/ausmus/video/upload/v1479991311/jhlp9haxsz2y1yohpvqf.m4a
Northern Banjo Frog,Limnodynastes terraereginae,https://res.cloudinary.com/ausmus/video/upload/v1539726692/x2bfww7vq0q4ok09lho3.m4a
Black-shinned Rocket Frog,Litoria tornieri,https://res.cloudinary.com/ausmus/video/upload/v1502254585/d8fo3srkiwbmn6hv6qg4.m4a
Barking Frog,Limnodynastes fletcheri,https://res.cloudinary.com/ausmus/video/upload/v1573539359/fyncjqltbinx9facmmga.m4a
Floodplain Toadlet,Uperoleia inundata,https://res.cloudinary.com/ausmus/video/upload/v1502255461/uklykfyk3kz0lyjebswd.m4a
Orange-thighed Tree Frog,Litoria xanthomera,https://res.cloudinary.com/ausmus/video/upload/v1507771790/eeuyzp82xl8nxzweksg3.m4a
Red-eyed Tree Frog,Litoria chloris,http://res.cloudinary.com/ausmus/video/upload/v1479991452/lzauagah9dlbneqpapav.m4a
Southern Green Stream Frog,Litoria nudidigitus,https://res.cloudinary.com/ausmus/video/upload/v1507943591/emb1cqsw2ea8wchrxml9.m4a
Desert Froglet ,Crinia deserticola,https://res.cloudinary.com/ausmus/video/upload/v1514342030/h4etnlrmixqrjcgwkdqm.m4a
Pallid Rocket Frog,Litoria pallida,https://res.cloudinary.com/ausmus/video/upload/v1502254374/npjposhkdstsykznhmlo.m4a
Wotjulum Rocket Frog,Litoria watjulumensis,https://res.cloudinary.com/ausmus/video/upload/v1502254624/qif5baksscv6hqccryxz.m4a
Red-backed Toadlet,Pseudophryne coriacea,http://res.cloudinary.com/ausmus/video/upload/v1479991188/w5wuq3eq7cb81ba6b2dx.m4a
